ModifierID,ModifierName,Condition,Measurement,Threshold,RiskMultiplier,EvidenceLevel
R001,Age_Elderly,Age,Age,75,1.5,Strong
R002,Age_VeryElderly,Age,Age,85,2.0,Strong
R003,Renal_Impairment,eGFR,eGFR,30,2.0,Strong
R004,Renal_Moderate,eGFR,eGFR,45,1.5,Moderate
R005,Hepatic_Impairment,LiverFunction,LiverFunction,Abnormal,1.8,Strong
R006,Hepatic_Mild,LiverFunction,LiverFunction,MildlyImpaired,1.3,Moderate
R007,LOW_BMI,BMI,BMI,18.5,1.3,Moderate
R008,Polypharmacy_5,NumberOfDrugs,NumberOfDrugs,5,1.4,Strong
R009,Polypharmacy_8,NumberOfDrugs,NumberOfDrugs,8,1.8,Strong
R010,Polypharmacy_10,NumberOfDrugs,NumberOfDrugs,10,2.0,Strong
R011,Smoking,Smoking,Smoking,Current,1.2,Weak
